date,open_spot,high_spot,low_spot,close_spot,volume_spot,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,open_interest_ce,open_interest_pe,volume_ce,volume_pe
2025-02-14,23096.45,23133.7,22774.85,22929.25,254479643,23169.0,23205.5,22846.45,22995.65,109312,17385600,9477225,7061550,5606735,7235684
2025-02-17,22809.9,22974.2,22725.45,22959.5,207393944,22945.4,23049.0,22826.25,23026.4,92954,17193300,9545175,9176700,7554135,4771413
2025-02-18,22963.65,22992.5,22801.5,22945.3,210616675,23029.1,23029.1,22838.8,22972.6,73098,16780425,14635125,11188800,8314780,6395972
2025-02-19,22847.25,23049.95,22814.85,22932.9,206999204,22900.2,23106.2,22881.15,22964.5,86464,16659825,19833375,13437825,15725654,15357313
2025-02-20,22821.1,22923.85,22812.75,22913.15,240836647,22895.0,22960.95,22855.0,22942.5,54621,16391775,31437225,38755125,51029358,45943979
2025-02-21,22857.2,22921.0,22720.3,22795.9,242753984,22880.0,22940.25,22757.75,22822.6,96195,15082500,14705700,15363750,5516053,7934016
2025-02-24,22609.35,22668.05,22518.8,22553.35,214317552,22674.7,22720.15,22572.15,22612.65,106292,11660625,17690550,27214725,5347351,9291867
2025-02-25,22516.45,22625.3,22513.9,22547.55,250279519,22582.2,22646.0,22561.3,22582.15,94896,7711800,22246950,31121700,7454005,8687414
2025-02-27,22568.95,22613.3,22508.4,22545.05,289230479,22580.0,22605.05,22530.2,22547.75,96679,3467625,49904475,42666375,31269116,34053536
2025-02-28,22433.4,22450.35,22104.85,22124.7,551285287,22532.4,22574.75,22233.35,22280.05,122445,17905950,8523000,15314250,2441453,8757240
2025-03-03,22194.55,22261.55,22004.7,22119.3,282399735,22341.0,22376.0,22140.05,22259.8,89291,17949600,13324725,20373600,7906068,11843779
2025-03-04,21974.45,22105.05,21964.6,22082.65,253260641,22115.6,22237.0,22101.0,22191.05,63149,18198750,20434950,21922425,9597025,8374080
2025-03-05,22073.05,22394.9,22067.8,22337.3,305942691,22200.0,22498.0,22168.3,22441.35,82566,17827425,22058025,16560300,22701660,12477355
2025-03-06,22476.35,22556.45,22245.85,22544.7,372083680,22541.0,22638.15,22359.0,22620.95,117025,18106275,52494225,44508600,88951629,35710301
2025-03-07,22508.65,22633.8,22464.75,22552.5,289765795,22598.9,22738.0,22572.2,22649.95,75660,18054525,13513575,15003375,8733641,9243912
2025-03-10,22521.85,22676.75,22429.05,22460.3,293855491,22599.9,22728.15,22486.85,22515.65,69156,17677275,14754000,17875275,4294344,10266625
2025-03-11,22345.95,22522.1,22314.7,22497.9,347924102,22419.95,22592.05,22361.55,22564.3,75200,17580075,22382550,23610150,12303419,7502506
2025-03-12,22536.35,22577.4,22329.55,22470.5,369736725,22580.0,22618.8,22380.2,22530.35,78142,17460150,25560675,23569200,25975893,22215890
2025-03-13,22541.5,22558.05,22377.35,22397.2,287535243,22550.0,22615.8,22430.1,22444.25,65790,17564925,66009600,50382675,67710769,82550340
2025-03-17,22353.15,22577.0,22353.15,22508.75,251102239,22510.2,22670.0,22502.3,22584.3,67599,17206125,17880750,22326075,10278555,11135064
2025-03-18,22662.25,22857.8,22599.2,22834.3,272578844,22705.0,22912.7,22672.8,22895.4,89671,16764675,21234225,14780025,10749080,4644279
2025-03-19,22874.95,22940.7,22807.95,22907.6,323992121,22934.0,22993.0,22872.0,22972.95,59079,16443750,30387975,26137950,21679296,16930426
2025-03-20,23036.6,23216.7,22973.95,23190.65,313729818,23069.9,23232.6,23015.0,23200.25,103958,15414525,59346900,40814025,76222101,41109331
2025-03-21,23168.25,23402.7,23132.8,23350.4,540966316,23195.05,23438.0,23172.0,23379.85,89048,14353050,12988650,11584725,9958827,6839319
2025-03-24,23515.4,23708.75,23433.5,23658.35,311900413,23482.3,23729.8,23441.5,23699.35,94775,12926625,13686075,12823425,9944680,4869670
2025-03-25,23751.5,23869.6,23601.4,23668.65,338216746,23767.1,23893.9,23660.0,23705.35,112607,11648400,16917525,16790775,6382035,9843188
2025-03-26,23700.95,23736.5,23451.7,23486.85,278590831,23735.0,23761.4,23494.9,23521.9,110793,7067400,19143525,22201125,6642689,19838718
2025-03-27,23433.95,23646.45,23412.2,23591.95,510302142,23470.0,23643.1,23455.05,23593.6,72007,4421475,41528475,37794750,51917105,45489647
2025-03-28,23600.4,23649.2,23450.2,23519.35,387455531,23775.05,23801.6,23560.0,23637.65,97506,12560100,15567525,16004175,7399089,12203800
2025-04-01,23341.1,23565.15,23136.4,23165.7,375118343,23530.0,23668.0,23290.0,23321.4,122621,12808425,11335275,14707725,3663150,8420430
2025-04-02,23192.6,23350.0,23158.45,23332.35,340970371,23326.95,23459.6,23300.0,23438.95,64204,12604950,33357450,19637775,22880505,12806501
2025-04-03,23150.3,23306.5,23145.8,23250.1,283196379,23215.0,23411.1,23215.0,23325.95,68519,13032300,53534025,69762600,60424513,61467565
2025-04-04,23190.4,23214.7,22857.45,22904.45,466776198,23229.7,23250.0,22920.05,22958.15,108118,13654275,18951000,18225975,6085795,11323002
2025-04-07,21758.4,22254.0,21743.65,22161.6,647107618,22201.5,22347.0,21860.0,22263.8,262265,13875975,6185475,7938300,3453860,2203801
2025-04-08,22446.75,22697.2,22270.85,22535.85,468250807,22511.6,22744.9,22341.0,22630.35,156069,13430775,11101725,12679350,9238410,7036498
2025-04-09,22460.3,22468.7,22353.25,22399.15,383822618,22544.0,22544.0,22405.05,22479.65,90619,13164825,58953000,56892000,54915657,53721681
2025-04-11,22695.4,22923.9,22695.4,22828.55,402162001,22746.0,23017.0,22746.0,22917.65,120725,12919500,7226775,6627300,4703034,4809986
2025-04-15,23368.35,23368.35,23207.0,23328.55,388321931,23295.0,23399.9,23252.0,23340.9,89235,12380700,24019125,17773125,6299497,4470216
2025-04-16,23344.1,23452.2,23273.05,23437.2,348424960,23338.0,23450.0,23277.2,23433.5,71349,12106575,25389375,10892025,19607616,7148213
2025-04-17,23401.85,23872.35,23298.55,23851.65,505333905,23399.9,23872.7,23330.0,23851.3,135421,11622975,46383300,45991350,64199086,32679147
2025-04-21,23949.15,24189.55,23903.65,24125.55,406145632,23875.9,24194.5,23875.6,24135.5,77342,11051175,19123350,12331875,8847339,4713789
2025-04-22,24185.4,24242.6,24072.0,24167.25,440940490,24150.0,24239.8,24077.0,24169.0,87218,8816400,21676575,19774350,8346615,7250678
2025-04-23,24357.6,24359.3,24119.95,24328.95,415042544,24310.0,24351.8,24121.1,24312.7,99138,5549550,31117425,14455725,19921886,10694593
2025-04-24,24277.9,24347.85,24216.15,24246.7,358768165,24288.0,24360.0,24225.0,24245.7,55201,3392175,55954125,38963175,38808477,41866845
2025-04-25,24289.0,24365.45,23847.85,24039.35,387741866,24465.0,24511.0,23975.0,24139.1,168230,11736900,10925925,11961375,6750462,8025203
2025-04-28,24070.25,24355.1,24054.05,24328.5,320467976,24200.2,24489.0,24140.0,24452.8,104248,12629700,20402850,16052850,12384698,6654939
2025-04-29,24370.7,24457.65,24290.75,24335.95,357563224,24484.0,24567.9,24396.1,24425.3,79024,13070550,42156000,24728925,14168921,13187580
2025-04-30,24342.05,24396.15,24198.75,24334.2,424452559,24369.9,24486.0,24348.7,24418.4,69406,13347750,57009375,52693275,76350088,71041271
2025-05-02,24311.9,24589.15,24238.5,24346.7,421112627,24399.9,24718.3,24310.0,24400.7,159768,12934800,13325700,12190725,6868215,8644132
2025-05-05,24419.5,24526.4,24400.65,24461.15,291471628,24481.1,24630.0,24471.0,24553.7,76211,13520250,28237950,22615725,12014750,10877566
2025-05-06,24500.75,24509.65,24331.8,24379.6,302354059,24574.8,24576.8,24410.0,24431.4,65193,13527900,44416275,28616250,10782924,12356678
2025-05-07,24233.3,24449.6,24220.0,24414.4,330137191,24343.9,24538.5,24311.0,24461.4,99826,13159275,50677950,37745925,30888098,21286314
2025-05-08,24431.5,24447.25,24150.2,24273.8,411362230,24489.0,24523.9,24194.1,24271.9,113537,12776925,26494050,59356200,35775704,71036054
2025-05-09,23935.75,24164.25,23935.75,24008.0,335550680,24063.4,24215.0,23984.0,24065.5,150829,12619800,11888175,13684125,4705508,6434343
2025-05-12,24420.1,24944.8,24378.85,24924.7,368707684,24476.0,25069.9,24410.0,25044.1,156527,12644025,14728500,11539425,9476418,2260663
2025-05-13,24864.05,24973.8,24547.5,24578.35,422977876,24960.0,25044.0,24613.5,24640.2,163428,12246525,19936875,17550300,5223378,9093742
2025-05-14,24613.8,24767.55,24535.55,24666.9,345490805,24670.0,24834.4,24572.3,24715.9,87780,11632575,24060525,17353500,21124518,18816025
2025-05-15,24694.45,25116.25,24494.45,25062.1,500821889,24733.9,25144.9,24600.0,25078.7,186214,12191025,38101275,45027825,61887335,30769327
2025-05-16,25064.65,25070.0,24953.05,25019.8,432717092,25126.1,25149.0,25006.0,25078.7,62198,11973975,15874725,13426575,6932501,7088712
2025-05-19,25005.35,25062.95,24916.65,24945.45,255254340,25060.1,25117.2,24952.7,24976.4,52956,11775375,20713050,13627875,5647247,7362331
2025-05-20,24996.2,25010.35,24669.7,24683.9,414799113,25040.2,25059.9,24745.0,24774.6,96523,11175975,14703000,15241425,2838357,8797341
2025-05-21,24744.25,24946.2,24685.35,24813.45,332724952,24755.3,25019.0,24720.0,24832.2,104176,10785750,19944825,19621350,18515343,19553133
2025-05-22,24733.95,24737.5,24462.4,24609.7,403279638,24778.0,24792.9,24515.0,24652.2,113872,10423125,52304550,46758150,79794266,66863089
2025-05-23,24639.5,24909.05,24614.05,24853.15,270470348,24656.5,24961.7,24634.9,24879.9,95920,10398000,13420350,12819225,6347045,4898466
2025-05-26,24919.35,25079.2,24900.5,25001.15,302799227,24950.0,25123.9,24935.2,25035.9,75338,9418875,21763650,17954475,6455722,5841580
2025-05-27,24956.65,25062.9,24704.1,24826.2,525653668,25000.0,25108.8,24739.0,24862.6,146382,7685625,20410200,16398675,5892122,6774193
2025-05-28,24832.5,24864.25,24737.05,24752.45,684425321,24772.6,24896.0,24742.5,24762.5,78611,5931375,21018600,20442750,8136860,10705762
2025-05-29,24825.1,24892.6,24677.3,24833.6,345370611,24828.6,24900.0,24661.0,24814.2,81101,3945300,42249375,25926225,58758856,30215419
2025-05-30,24812.6,24863.95,24717.4,24750.7,853890978,24940.2,24987.7,24840.0,24871.2,69540,13020000,13659225,11104275,4083776,5406195
2025-06-02,24669.7,24754.4,24526.15,24716.6,311100908,24799.0,24869.0,24610.0,24826.3,93083,12674100,16475025,16972275,6678948,4774625
2025-06-03,24786.3,24845.1,24502.15,24542.5,349288937,24835.0,24929.0,24631.0,24675.3,105510,12731325,17316450,16453350,4237682,7005872
2025-06-04,24560.45,24644.25,24530.45,24620.2,280862575,24710.0,24761.0,24637.6,24729.4,50960,12494550,29859075,28829925,14020914,12906136
2025-06-05,24691.2,24899.85,24613.1,24750.9,388405978,24752.3,25008.8,24716.1,24861.4,106451,12317325,53355600,37911825,78571448,63312517
2025-06-06,24748.7,25029.5,24671.45,25003.05,335581057,24854.9,25139.0,24750.0,25096.3,109889,12180600,13707825,14597025,7710654,3538303
2025-06-09,25160.1,25160.1,25077.15,25103.2,279219989,25205.0,25234.0,25147.4,25181.8,45853,11925600,21246675,16439925,5770304,4948587
2025-06-10,25196.05,25199.3,25055.45,25104.25,307323471,25222.0,25249.2,25130.0,25160.6,47136,11487600,30357300,21491400,7131277,7431695
2025-06-11,25134.15,25222.4,25081.3,25141.4,301245273,25179.9,25307.0,25140.0,25211.7,62340,11403000,28750350,22920075,19929569,15224378
2025-06-12,25164.45,25196.2,24825.9,24888.2,328310748,25210.5,25260.0,24901.3,24937.4,119427,11388075,57279750,39168900,51926888,76707909
2025-06-13,24473.0,24754.35,24473.0,24718.6,318711364,24588.0,24790.0,24575.3,24727.4,89998,11825400,9363825,11186475,6722449,5258211
2025-06-16,24732.35,24967.1,24703.6,24946.5,305813047,24755.5,25024.8,24735.0,24996.2,88980,11748900,13820250,14345475,8902077,4114960
2025-06-17,24977.85,24982.05,24813.7,24853.4,242415740,24996.1,25003.5,24839.1,24868.8,60973,11568075,17888250,16318425,6764871,7948344
2025-06-18,24788.35,24947.55,24750.45,24812.05,237599011,24840.1,24978.8,24786.0,24826.9,73489,11174250,27271425,21502725,16136490,19633117
2025-06-19,24803.25,24863.1,24733.4,24793.25,274619935,24813.0,24891.4,24751.0,24803.1,55670,11068050,60736500,64966275,75363038,76106010
2025-06-20,24787.65,25136.2,24783.65,25112.4,574654035,24825.0,25137.0,24806.5,25111.7,105046,10854000,20254650,19136400,8937826,4288187
2025-06-23,24939.75,25057.0,24824.85,24971.9,248534153,24975.0,25090.0,24825.0,24993.3,110836,9159975,20976625,24878125,8986315,8324714
2025-06-24,25179.9,25317.7,24999.7,25044.35,450185468,25180.2,25349.0,25036.2,25071.7,141676,7305300,24583400,22123625,5498047,10619530
2025-06-25,25150.35,25266.8,25125.05,25244.75,260582584,25152.1,25290.0,25130.2,25252.2,72287,5420850,30488400,33345375,20890763,13825548
2025-06-26,25268.95,25565.3,25259.9,25549.0,428891818,25302.0,25564.0,25272.3,25551.0,75945,4190625,31084800,33177675,72524313,26228066
2025-06-27,25576.65,25654.2,25523.55,25637.8,563957748,25695.0,25772.3,25635.0,25750.2,61012,14899275,14196525,13702050,8558945,5230499
2025-06-30,25661.65,25669.35,25473.3,25517.05,270981274,25765.0,25792.4,25575.0,25614.2,95102,14414550,24935400,19484925,6991745,10977235
2025-07-01,25551.35,25593.4,25501.8,25541.8,260669106,25636.0,25691.4,25596.1,25643.3,45334,14546325,32946525,23557425,8461583,7497190
2025-07-02,25588.3,25608.1,25378.75,25453.4,309828013,25659.0,25695.1,25480.0,25546.1,76242,14085450,34102050,23707125,16079572,23168490
2025-07-03,25505.1,25587.5,25384.35,25405.3,293428797,25551.1,25670.0,25485.1,25508.6,89520,13701525,41467050,43920600,58689202,93272296
2025-07-04,25428.85,25470.25,25331.65,25461.0,193511595,25500.1,25558.6,25410.0,25540.1,59309,13464600,16034250,14274900,8673635,7628188
2025-07-07,25450.45,25489.8,25407.25,25461.3,196051345,25528.9,25574.8,25475.7,25538.9,41703,13276800,20109150,17487525,8438407,7719891
2025-07-08,25427.85,25548.05,25424.15,25522.5,210410530,25530.0,25635.0,25499.4,25611.9,40247,13341975,24883650,28608675,9813541,7195845
2025-07-09,25514.6,25548.7,25424.35,25476.1,239081546,25592.9,25646.0,25522.8,25558.8,46447,13456800,43906350,28212075,20623280,20270053
2025-07-10,25511.65,25524.05,25340.45,25355.25,219609322,25590.8,25595.2,25411.2,25421.9,66223,13465950,45052800,41081775,58406315,84137390
2025-07-11,25255.5,25322.45,25129.0,25149.85,249987681,25335.0,25384.0,25205.0,25223.4,73945,13451400,12549225,11808900,4699811,9010218
2025-07-14,25149.5,25151.1,25001.95,25082.3,259533624,25234.8,25234.8,25076.3,25167.5,66379,13697325,22547325,21242325,10708722,12536473
2025-07-15,25089.5,25245.2,25088.45,25195.8,241340130,25180.0,25306.0,25152.1,25265.6,54449,13659150,28434300,26606775,14167061,11280537
2025-07-16,25196.6,25255.3,25121.05,25212.05,228815928,25230.0,25289.9,25162.1,25245.8,45817,13731975,32933175,35498175,26527107,22381876
2025-07-17,25230.75,25238.35,25101.0,25111.45,243412540,25260.0,25275.0,25165.0,25174.6,53027,13825575,46255575,48443175,55980766,82538348
2025-07-18,25108.55,25144.6,24918.65,24968.4,316979826,25167.9,25170.0,24981.0,25032.3,69868,13738800,10338525,14085600,5297027,9511122
2025-07-21,24999.0,25111.4,24882.3,25090.7,305216414,24969.2,25139.7,24920.6,25127.6,56976,13284525,24409350,21831225,13703455,8494639
2025-07-22,25166.65,25182.0,25035.55,25060.9,483725120,25149.9,25200.0,25070.0,25093.9,41323,13220850,29150325,25702500,9504581,12305500
2025-07-23,25139.35,25233.5,25085.5,25219.9,271539651,25170.2,25260.0,25112.3,25252.8,51484,12754875,28279350,38713275,28395172,19142137
2025-07-24,25243.3,25246.25,25018.7,25062.1,338728860,25290.1,25290.1,25049.0,25095.4,63223,12360525,48090375,49725825,63874603,90384341
2025-07-25,25010.35,25010.35,24806.35,24837.0,278136104,25011.0,25024.0,24831.0,24850.4,69729,12162000,16428150,14159250,6220380,11806984
2025-07-28,24782.45,24889.2,24646.6,24680.9,262142969,24799.9,24925.0,24667.6,24710.2,71260,11209875,21214350,19691025,7341538,14735768
2025-07-29,24609.65,24847.15,24598.6,24821.1,284657235,24636.0,24859.0,24630.0,24838.8,84506,9140775,25624650,26786775,13004463,8300754
2025-07-30,24890.4,24902.3,24771.95,24855.05,243886726,24845.0,24910.6,24786.0,24869.3,69353,6997125,27243900,27986175,24362992,22271397
2025-07-31,24642.25,24956.5,24635.0,24768.35,346303628,24693.0,24970.0,24625.1,24771.9,81205,5278950,26886750,43994625,52422607,76673181
2025-08-01,24734.9,24784.15,24535.05,24565.35,263357194,24800.0,24854.9,24601.4,24627.2,83419,16890450,9238050,12049950,3037695,10538353
2025-08-04,24596.05,24736.25,24554.0,24722.75,259329477,24630.0,24812.9,24630.0,24793.1,57820,16496700,22275750,23125200,12747047,9106813
2025-08-05,24720.25,24733.1,24590.3,24649.55,251849778,24774.9,24783.7,24650.0,24707.8,54138,16602675,27750225,21971475,10268299,10930123
2025-08-06,24641.35,24671.4,24539.2,24574.2,225091071,24707.8,24738.9,24616.6,24634.9,52800,16681725,26609250,27096225,16454400,25630091
2025-08-07,24464.2,24634.2,24344.15,24596.15,616739190,24539.9,24721.0,24409.0,24673.4,97916,16752675,57578250,40450350,94601060,39174950
2025-08-08,24544.25,24585.5,24337.5,24363.3,312630157,24669.0,24694.0,24413.1,24441.1,79655,17244675,10389450,13507950,3915304,11894870
2025-08-11,24371.5,24600.85,24347.45,24585.05,241145497,24455.0,24646.2,24409.2,24627.9,63544,16920750,25278600,18784725,12611921,4991704
2025-08-12,24563.35,24702.6,24465.65,24487.4,237002462,24605.1,24764.0,24541.6,24554.9,83389,17018250,30362850,28174500,11587059,17626904
2025-08-13,24586.2,24664.55,24535.25,24619.35,236006791,24625.0,24748.0,24610.0,24712.2,58314,16845375,35424825,48411150,31596580,29560004
2025-08-14,24607.25,24673.65,24596.9,24631.3,270162203,24708.9,24750.9,24657.4,24684.7,50699,16733775,66899475,48215625,87196739,81225575
2025-08-18,24938.2,25022.0,24852.85,24876.95,363071305,24906.3,25079.0,24906.3,24966.8,89126,16437225,21730350,21615825,9806864,12210113
2025-08-19,24891.35,25012.65,24873.95,24980.65,252340828,24958.0,25060.9,24922.3,25033.5,47372,16231575,28284375,30989850,14118549,9971830
2025-08-20,24965.8,25088.7,24929.7,25050.55,287054119,24974.9,25108.1,24960.0,25083.3,54455,15889275,34321800,41214825,27791226,18429830
2025-08-21,25142.0,25153.65,25054.9,25083.75,226542052,25111.1,25179.0,25086.0,25122.5,55136,14993325,63895350,49058400,96987082,87748148
2025-08-22,25064.15,25084.85,24859.15,24870.1,210165384,25094.0,25099.0,24887.4,24898.2,71849,14147475,15489525,18506400,4889675,10460776
2025-08-25,24949.15,25021.55,24894.35,24967.75,213032133,24950.1,25030.0,24914.1,24989.7,97029,11033400,27737550,30673275,13493007,13198651
2025-08-26,24899.5,24919.65,24689.6,24712.05,750473927,24903.0,24940.0,24710.0,24731.5,109864,6923325,22584900,22137900,8761643,17001874
2025-08-28,24695.8,24702.65,24481.6,24500.9,326601486,24689.8,24709.6,24478.0,24496.3,93734,3311925,41211900,38163150,56894056,90781689
2025-08-29,24466.7,24572.45,24404.7,24426.85,325543583,24650.0,24710.0,24546.0,24568.5,68731,16610100,25275675,21020400,13130569,24830627
2025-09-01,24432.7,24635.6,24432.7,24625.05,229327424,24581.1,24760.0,24581.0,24748.0,52140,16621050,38625075,35795475,30964139,16600091
2025-09-02,24653.0,24756.1,24522.35,24579.6,271558516,24750.0,24874.7,24651.9,24691.8,74911,16496325,69987000,56008425,88723474,114685964
2025-09-03,24616.5,24737.05,24533.2,24715.05,340283328,24680.0,24837.0,24638.5,24813.1,56469,16501875,20753100,24414150,15102438,8656069
2025-09-04,24980.75,24980.75,24708.2,24734.3,314094160,24926.3,25048.5,24809.7,24827.5,82951,16957875,26143500,18912075,8280073,13683859
2025-09-05,24818.85,24832.35,24621.6,24741.0,210071924,24855.3,24927.0,24720.4,24847.7,73802,17097750,30723825,24063300,24756353,23432558
2025-09-08,24802.6,24885.5,24751.55,24773.15,213228202,24888.5,24979.0,24862.2,24892.7,59664,16973250,30469575,42062175,24535062,35886049
2025-09-09,24864.1,24891.8,24814.0,24868.6,226919775,24931.2,24969.0,24910.0,24950.3,37069,16931550,52804725,73629075,94770314,90610867
2025-09-10,24991.0,25035.7,24915.05,24973.1,244146466,25021.6,25125.0,25001.1,25072.3,66128,17231025,19485075,25948275,9594125,11314977
2025-09-11,24945.5,25037.3,24940.15,25005.5,224570983,25049.0,25119.5,25048.1,25104.5,28561,17062725,26786250,38452125,9150624,8997307
2025-09-12,25074.45,25139.45,25038.05,25114.0,225739766,25126.3,25222.8,25126.3,25205.0,41583,16637775,31945200,45148875,17202381,14684889
2025-09-15,25118.9,25138.45,25048.75,25069.2,185375759,25200.6,25204.0,25147.3,25164.7,34301,16654725,40537875,55440525,19601779,25266481
2025-09-16,25073.6,25261.4,25070.45,25239.1,240122320,25178.7,25354.0,25152.0,25331.4,60109,16082100,59065350,53556900,96674337,58094091
2025-09-17,25276.6,25346.5,25275.35,25330.25,268936695,25365.0,25446.7,25362.8,25423.4,44598,15695850,16661700,18437625,9253073,8218910
2025-09-18,25441.05,25448.95,25329.75,25423.6,272193683,25480.2,25525.0,25435.1,25510.9,54004,15519900,28928175,29749275,10683420,11903986
2025-09-19,25410.2,25431.4,25286.3,25327.05,380362832,25474.0,25489.8,25352.0,25411.2,62987,15007275,37255950,30805125,18963131,23361396
2025-09-22,25238.1,25331.7,25151.05,25202.35,254509892,25350.0,25394.5,25248.6,25277.7,51252,14757825,42607575,37676475,19043142,35319090
2025-09-23,25209.0,25261.9,25084.65,25169.5,299204338,25277.7,25333.2,25158.0,25255.8,62983,14358900,46752000,56619225,86529827,115855533
2025-09-24,25108.75,25149.85,25027.45,25056.9,244382281,25206.5,25206.5,25078.0,25111.9,64471,14210700,18713550,24546975,7739545,14266795
2025-09-25,25034.5,25092.7,24878.3,24890.85,342534768,25100.0,25133.0,24954.1,24967.7,77237,12505050,27727800,31408950,4769887,11954520
2025-09-26,24818.55,24868.6,24629.45,24654.7,291537949,24929.9,24929.9,24663.1,24689.9,96914,9691950,17842800,25368525,6425449,20944232
2025-09-29,24728.55,24791.3,24606.2,24634.9,394388242,24755.0,24844.2,24646.2,24685.0,95052,6130575,29604075,35979675,21252134,41161397
2025-09-30,24691.95,24731.8,24587.7,24611.1,304924720,24714.9,24749.0,24580.0,24612.0,64496,3831600,45165300,56030175,68058436,101973858
2025-10-01,24620.55,24867.95,24605.95,24836.3,308135228,24751.8,24986.5,24725.0,24967.2,76529,17259900,16988700,19012575,10630495,5741830
2025-10-03,24759.55,24904.8,24747.55,24894.25,366929642,24950.4,25020.0,24878.6,25006.6,60919,18015450,35447400,37243200,29666143,18483646
2025-10-06,24916.55,25095.95,24881.65,25077.65,271953070,24990.0,25199.1,24973.2,25185.4,73598,18296400,44885925,37336425,41614147,19193245
2025-10-07,25085.3,25220.9,25076.3,25108.3,286833765,25198.0,25318.0,25180.0,25225.3,64467,18017475,56876325,59372025,99960078,126200916
2025-10-08,25079.75,25192.5,25008.5,25046.15,225967495,25206.9,25289.8,25085.0,25120.4,73678,17699550,24197400,19887000,11036609,18459441
2025-10-09,25074.3,25199.25,25024.3,25181.8,286253252,25150.0,25291.0,25124.0,25273.8,67283,17510175,29873925,26330400,16973395,10564382
2025-10-10,25167.65,25330.75,25156.85,25285.35,232943306,25250.0,25464.3,25250.0,25411.0,58958,17289075,31568025,40217025,25353402,21251415
2025-10-13,25177.3,25267.3,25152.3,25227.35,234285202,25340.0,25345.1,25230.3,25309.3,72042,17247225,46861350,37317675,35307631,29388998
2025-10-14,25277.55,25310.35,25060.55,25145.5,292129083,25378.1,25378.1,25123.2,25206.0,91414,17773650,62695650,43659525,102490639,114853805
